Edad,Genero,Frecuencia_compra,Compra_por_recomendacion,Frecuencia_navegacion,Metodo_busqueda,Exploracion,Imp_reseñas,Carrito,Frecuencia_carrito,Factores_abandono,Frecuencia_guardar,Reseña,Confianza_reseñas,Utilidad_reseñas,Frecuencia_recomendaciones,Utilidad_recomendaciones,Precision_recomendaciones,Satisfaccion,Valor,Mejoras,Belleza_y_cuidado_personal,Ropa_y_moda,Alimentación_y_productos_gourmet,Hogar_y_cocina,Otros
23,0,0,1,1,1,0,1,1,5,1,4,1,1,1,0,2,3,2,4,9,0,1,0,0,1
23,0,0,1,0,1,1,4,1,5,2,4,1,0,1,2,0,3,3,2,11,1,1,0,0,0
40,1,0,0,1,1,1,1,1,3,0,1,1,0,1,3,2,2,1,0,11,1,0,0,1,0
25,0,3,2,0,2,1,5,2,5,1,2,0,1,2,2,2,3,3,4,2,1,0,0,0,0
24,1,3,2,1,1,1,4,1,5,0,4,1,1,2,3,2,1,2,4,13,0,0,0,0,1
23,0,1,0,0,1,0,4,1,5,0,4,1,4,2,2,2,3,3,3,9,1,1,0,1,0
24,1,1,2,0,1,1,1,1,5,1,1,1,0,1,1,1,3,2,3,13,0,0,0,0,1
24,1,1,0,1,2,1,1,2,1,0,3,0,0,1,2,2,3,3,4,9,0,0,0,0,1
24,0,1,2,0,2,0,3,2,5,0,4,0,3,2,2,1,3,3,2,2,1,1,0,0,0
26,1,0,0,1,1,1,4,1,3,0,3,1,3,1,2,1,3,4,0,9,0,0,0,0,1
23,0,0,2,0,2,0,1,1,5,1,2,0,0,1,1,2,3,3,4,9,1,0,0,1,1
23,0,0,0,1,2,1,1,1,5,0,1,0,0,1,2,2,3,1,4,9,1,1,0,1,0
24,0,3,2,1,1,1,1,1,5,1,4,1,3,1,2,1,3,2,3,9,0,0,0,0,1
23,1,1,0,0,1,0,1,2,4,2,1,0,1,2,2,2,3,3,4,17,0,0,0,0,1
24,0,1,1,0,1,1,1,1,3,0,2,1,1,1,0,1,2,2,0,9,1,1,0,0,0
36,0,3,2,2,1,1,5,1,3,0,1,1,0,0,1,2,3,1,3,13,0,0,0,1,1
26,1,1,0,3,0,1,1,1,5,1,4,1,1,1,0,1,2,1,4,9,0,0,0,1,0
31,1,3,0,0,1,0,1,1,5,0,2,0,0,1,3,2,3,1,1,11,0,0,0,1,1
23,1,1,0,3,2,1,1,2,3,1,1,0,0,1,1,0,3,2,3,11,0,0,0,0,1
23,0,1,1,0,1,1,1,1,5,0,3,0,0,1,2,1,2,2,4,9,0,0,0,1,0
30,1,4,1,1,0,1,4,1,3,1,0,1,1,1,3,1,4,4,2,2,0,0,1,1,0
24,0,1,0,3,2,1,2,1,5,1,2,0,1,1,1,2,2,2,4,9,0,0,0,0,1
47,2,1,2,3,3,0,2,2,1,0,1,0,2,2,1,0,2,2,3,13,0,0,0,0,1
54,2,2,1,2,2,1,4,1,0,3,0,1,0,1,4,1,5,5,0,13,1,1,1,1,1
58,1,3,0,1,1,1,5,1,5,0,1,0,2,0,3,0,3,3,0,11,0,1,0,0,1
53,0,1,0,1,1,1,3,0,2,0,1,0,1,1,1,1,2,1,0,11,0,0,0,1,0
